,name,status
27681,رغيد جياض أىنف,0.0
11768,فواز حجاج بكار,1.0
9104,كبرى نجيب زهير,1.0
25000,راسخ باسطة عيئض,0.0
26598,بحاء بلقيد العابدين,0.0
2212,ريهام فتاح زكريا,1.0
14465,رهف صمد غالب,1.0
13899,سيلين رماح جبل,1.0
14778,نشأت مكين ورد,1.0
864,خزعل رصين نجدة,1.0
20699,إصلاح بادرة معصومة,0.0
26741,نارين فهدة فهيم,0.0
3438,ندى منصور فالح,1.0
19338,رفيدة جروح مءيب,0.0
561,منصور شمس الدين عبدالحليم,1.0
2603,سمراء ليث إحسان,1.0
16613,معتصم شيماء عبدالرحبم,0.0
12761,قنوت فاخر أكبر,1.0
18382,بسم غزيل سلطان,0.0
29994,سارا مغيثة جنبل,0.0
29870,نجيحة جمؤل ليىا,0.0
29836,ثناء قمراء وارف,0.0
20614,حكاس قتشبة عقلة,0.0
1942,ثناء زاخر صميم,1.0
12266,ساجع نصار مسيب,1.0
13381,أثيل أمجد مدحت,1.0
23345,فهدة عراب فرثاس,0.0
10282,ماضي حزم عباد,1.0
22584,مئحة رولا انشراف,0.0
22618,صميم فراس وقيم,0.0
31709,خزرل ائريم صفوت,0.0
28370,صاكرة منيب سعدون,0.0
19495,عاإفة اسام رامة,0.0
24338,يشر ضيف جهاد,0.0
17844,غنا عائض خليوي,0.0
8238,رفيعة ميلاد معتوق,1.0
13044,شهلاء عفان سعيد,1.0
23877,منال حجر ولاءءالدين,0.0
4502,وسن عرفات نايف,1.0
2723,أيهم رسيم معلوف,1.0
5541,أصيل رماح كاسر,1.0
17793,مآدي أبرار رافد,0.0
26336,مجيإ فريد خاجد,0.0
6975,خليوي صمصام داوود,1.0
25340,نونهان نجشب وضحى,0.0
14862,راغبة مطر يعقوب,1.0
10409,عاطف منهل أدعج,1.0
11582,ناشر محسن جساس,1.0
4746,منار هلال عكرمة,1.0
26925,أةثم نجم ميم,0.0
16850,أمين عبءالوهاب شهد,0.0
11336,خازن ناصر مصعب,1.0
6726,أكبر إسلام كلاب,1.0
16522,ولمانة مسفرة نواف,0.0
16349,ةهاب ميثاء مقرن,0.0
299,راغب قدامة فتوح,1.0
12262,جميلة راجي لطيف,1.0
21785,نارئ زينب حازم,0.0
2748,حاتم هاشم عبدالمنعم,1.0
21207,بطاح رسيمة نجوك,0.0
20593,رزق مآاصف عجرم,0.0
10222,مطاعة أسلم مطير,1.0
14284,عفاف سمير عليان,1.0
6356,رضا كنان نزار,1.0
27021,عبدالحي لباب مرخ,0.0
14705,مديد لطفي مزهر,1.0
19703,نصوح دصيحة أنعم,0.0
16870,بازخة مستور ركاه,0.0
16153,سيرين نوال ططمحة,0.0
24147,هتشم فادي آهيلة,0.0
14935,وارف مهاب ثواب,1.0
26212,شداد رهام حماك,0.0
31682,عبدالجليل ءميل مجاهدة,0.0
8021,زاهد ناصر بطرس,1.0
15718,حصئف غلن ود,0.0
13492,سامر أغيد شجاع,1.0
6419,شاكر عبدالحميد هاجد,1.0
19124,نوح مصلحة شجوئ,0.0
26723,أدعج إسلاد ضاوي,0.0
560,زغلول عروة يزيد,1.0
28186,دعجاء حسنية عبدالحفيد,0.0
2590,طاهر نصرت أكثم,1.0
1185,سفيانة جبر عوض,1.0
6161,مرتجى بطاح فادي,1.0
9795,رسيم فاضل غالب,1.0
26531,مءاحي تميم سدين,0.0
15725,رضوآ عبدالكريم بهيسة,0.0
30929,مشعب مكين سهيلة,0.0
7649,نظمي جامع ليث,1.0
3631,حسنين ركين وفيق,1.0
16517,أنغان تاءيا ميمون,0.0
7311,حمدون باسم براء,1.0
19047,عزن ناصيف مناحي,0.0
9200,كندة فارس نعمت,1.0
3891,دانة نسيب جواد,1.0
14700,شكرية ملحم فادي,1.0
27431,علء أغيد عدحل,0.0
26762,حصان عارف فتاح,0.0
7396,زهور عوني غلام,1.0
3913,فيروز شديد رائد,1.0
20261,رهام سمتاء عدنظن,0.0
21768,رفاعة ثليفة شهلاء,0.0
31203,عميد رمزي نجير,0.0
30250,منهل خشاير ميرا,0.0
30209,سسفرة أيهم جنرة,0.0
24803,صلاغ الدين سإيم عفيت,0.0
30101,إثينة رإان سفيان,0.0
22819,إبا إسحاه مضبلة,0.0
27806,بركي بكار زغنول,0.0
23252,السيد غناء كإيم,0.0
23874,فياض أشجاط وديعة,0.0
26787,عبدالملك معاوف امتثال,0.0
30412,عاإدة ثويبة خاأمة,0.0
5260,تيسير مبخوت ناهي,1.0
1046,لانا أبو بكر جرجس,1.0
612,جميلة أمية عبدالنور,1.0
2789,معاوية عبدالسلام حازم,1.0
20352,قداى أويس شبل,0.0
16225,اذجوهرة شيلاء نشوة,0.0
17315,ليلى حمد ميثغ,0.0
23073,سلامه آية شئيب,0.0
20365,عمر إسىاعيل رااد,0.0
21257,عالم أمنية نعمان,0.0
24828,أيمن جليل نشمب,0.0
22166,ضرير احمخ سلمة,0.0
17950,العابإين مئس مندرة,0.0
31121,فضيح تودد مهيب,0.0
26408,تمارة وهبأ مها,0.0
26004,زهراء إصلسح يصام,0.0
16194,بيرح حمدون غيد,0.0
25736,مزاحم عبده جاتح,0.0
27742,رضوة جمد دهيم,0.0
4568,عفان مروان غلاب,1.0
12683,رفيق حكيم رافق,1.0
27768,ناصر نورضان يوار,0.0
30614,مدحت عائع حئفظ,0.0
30904,زهير حوال طامحة,0.0
6704,رمزي عراب جلال,1.0
22529,سهل سجى رسضي,0.0
22692,إءاء حسمى خزةل,0.0
14773,انتظار نزار شهم,1.0
12872,نجود عشير عمير,1.0
22126,رشيق ميس أسئل,0.0
28329,فصيحة تطكي فرناس,0.0
20367,قيلاد وضحر صبا,0.0
21212,جندء مناف باتل,0.0
18303,عبدالجليل ثثمان نصيف,0.0
9195,كهلان مساعد عطا,1.0
20682,ماهة سآجع طاهر,0.0
22686,وفيق ثراء قانم,0.0
9493,روز ثائب معاوية,1.0
30319,ذاكر غياث مكاد,0.0
25593,أكبر عوتي كيان,0.0
8303,أنغام مقبل نبيه,1.0
5430,خاتم زكريا غسان,1.0
12458,انبهاج شافي وائل,1.0
24912,إسلام ذبيآن نسيب,0.0
15993,روغب متام أنور,0.0
30034,السيغ منيرة سهاد,0.0
30191,زاهخ مقادي سكرمة,0.0
6179,رسول فريج سالم,1.0
26790,سمن دانيا عفئض,0.0
1650,عكرمة حسون حاشد,1.0
31656,باني أنمار مطلب,0.0
9741,فارع عكاشة مخلد,1.0
28611,إجلاص أديب مإرك,0.0
635,دغيم بادي مصطفى,1.0
10067,دلال سلامة وهاب,1.0
23879,شاهدة جدعان ميمىن,0.0
31298,غزل أخم أنل,0.0
29563,حليمة منى نوزة,0.0
24895,ضبى عزء زهراء,0.0
15552,تيسير مقبلة شروو,0.0
30836,إينا بديعة نشمي,0.0
4306,إسراء فهيد نجاد,1.0
3787,خطاب عبدالوهاب ميلاد,1.0
29846,عزطفة بطاح لبيب,0.0
12542,سديم جراح معاوية,1.0
3637,سامية مدلج عمار,1.0
25146,تاحيا ممدودة معتضد,0.0
12094,ديما طلال حاشد,1.0
3618,أبان عباس صاعد,1.0
18004,رسيمة ققيبة جمالة,0.0
21524,قسام عبدالخالق شعوب,0.0
8706,سالي مستور مدثر,1.0
7993,لبانة حسان رويشد,1.0
9292,هلال غسان عبدالجليل,1.0
20041,غادة عاود ثائؤ,0.0
8876,جنا مفتاح حزام,1.0
4988,مشرف ابراهيم شاكر,1.0
18946,اوابي كيان ديمة,0.0
13913,إنصاف سلام فاخر,1.0
8487,منال مجاهد ابراهيم,1.0
26924,لمى غضنلر محبوب,0.0
26430,فرسج عرفة مهيبة,0.0
27711,طوري وحيد غوار,0.0
16100,جنى فواه مطر,0.0
18403,ضيم فصيحة فدوى,0.0
28095,تعتماد رنيم سويد,0.0
10918,لقمان ركان جمال,1.0
18248,أسيل منتهى مرقد,0.0
16726,معاذ ينتر عرسب,0.0
9547,تيسير عقاب مبروك,1.0
6351,منقذ صمصام معتوق,1.0
24522,أبو ذكر عقئ صدءق,0.0
4025,بارع كلاب رئيف,1.0
28046,رنن حسن الحبيب,0.0
936,فرحات ربيح صلاح الدين,1.0
8328,سمية سعيد معاذ,1.0
14282,قسيم بندر سيف,1.0
6972,نجود تامر هاشم,1.0
3931,صارم إبراهيم مطلق,1.0
25355,نائل ماريا شافي,0.0
11567,إيهاب زاكي مغوار,1.0
1860,مرحب جازم صهيب,1.0
7467,علياء عبدالغني حسني,1.0
7972,راتبة صفوان ساطع,1.0
25538,هنادي فصرس ريحانة,0.0
30934,وليف أمارة ربخع,0.0
8129,الجوري رضا عكرمة,1.0
2648,الجازي يوسف باسط,1.0
18455,ضرار نظجي سالم,0.0
951,ثواب عدنان الطباخ,1.0
24802,عشيت ضهر صابر,0.0
27862,طموح توليي معروظ,0.0
21380,شمزية ريهام ماضي,0.0
14637,عابدة صاعد طلال,1.0
21342,ليلى بادي سرائ,0.0
22178,ولزف أنوآ دنيا,0.0
28471,أسمة لارا عد,0.0
7498,النشار نائل راضي,1.0
26628,قصب ئدوان ءسماء,0.0
15282,كبرى أنمار تغلب,1.0
4623,حارب وسيم راكان,1.0
14517,مجدي أمية معاذ,1.0
24057,غاظم خزنة فياض,0.0
13790,عويس أريب حسون,1.0
3103,خازن يوسف محرم,1.0
15653,شامخ ردين جانر,0.0
18451,ءيوف آيفت منخبة,0.0
19460,داذية أسف أحلام,0.0
18650,بعسل ألطاف داليا,0.0
15526,صاحيل ناشر مطلب,0.0
16048,أشرف مارإا رواب,0.0
7278,ديم حامد عفيف,1.0
12102,كاظم تيسير نجدة,1.0
12555,تهاني عبدالباقي شهيد,1.0
8473,توفيق كعب سرور,1.0
18332,سلامه ريةان ماهرة,0.0
31135,عرفات فاطمئ ظفير,0.0
19738,ابده خزامى ود,0.0
26877,فرقدة كأب ديم,0.0
22353,دلال حضوى شيممء,0.0
14470,شفيق شيبة سامي,1.0
14543,شادي شامخ هجرس,1.0
22990,مروى طموح نباح,0.0
27416,سليم طريف بسمة,0.0
17372,جنادة ضاسخ رديف,0.0
13593,نجيب شامخ رمزي,1.0
26541,عهو نعمة جبل,0.0
1407,مسفرة شعيب راسخ,1.0
12584,رمضان صفوان عمر,1.0
23764,أيوب قبلة النشار,0.0
13350,سهيل خزعل نجدت,1.0
12626,نظمي فواز أدغم,1.0
4401,عفاف زبير ياسر,1.0
25490,سراج باسطة عجاى,0.0
22963,دهيم سلمى عديظ,0.0
25105,هكة نظير حبيد,0.0
14033,سها فهمي مطاع,1.0
28684,كهزان لجين معين,0.0
21039,وديغة صابر مررب,0.0
7273,أسلم عراب ظفار,1.0
9004,تغاني نصرت عراب,1.0
3609,إقبال معطي نجم,1.0
21076,مفشد هولا حلر,0.0
7280,مصلح فراس عشير,1.0
20480,أزوا معاهد أغيل,0.0
31259,ةاكر معصوم غالب,0.0
7829,بسام نديم غيث,1.0
22279,حسني رميد ظافر,0.0
21484,ذعار إعزىز هند,0.0
6724,بسيمة عياش عبدالصمد,1.0
1389,مشاري إسماعيل حسنين,1.0
17128,وسام أميرو كقرى,0.0
14733,سالي مقرن عازم,1.0
23554,فلثة ثمزة ابتهال,0.0
27054,عائذة نهال سراآ,0.0
8883,بيان مطاوع هلال,1.0
9647,شاهدة كعب فارع,1.0
16807,عبدالباسط ظاهر هدير,0.0
20294,مقضن لميس عراج,0.0
16520,كميت تعب أشجان,0.0
5469,عطاء عبدالحميد عبدالرحمن,1.0
18316,صميم ردغم نصر,0.0
6315,نامي كامل بدر,1.0
19132,حميد سسلم نجءد,0.0
14720,رجب عبدالغفور مشاري,1.0
25579,ئيادة عبدالمطرب لجئن,0.0
17328,غلوب زبيل مقتدي,0.0
4009,عبدالودود ظفار قداح,1.0
22131,نسرم هاجر بديعة,0.0
17892,ركثن زهير عبدالصحيم,0.0
11592,رعد عفيف سهيل,1.0
3645,إبراهيم كعب طلال,1.0
30073,عبدض عبدالودود سهظ,0.0
9488,نوار وليد ناشد,1.0
26357,شيآة مروة عبدالهادي,0.0
30090,مطنة عيسى سجعف,0.0
20572,فتون إنصاف راحدل,0.0
7515,رافي هلال علي,1.0
19333,ظافر الدنوف شافت,0.0
13106,رانيا نبال سلطان,1.0
8844,أيوب حاشد عامر,1.0
13047,غالب عوني عصام,1.0
25654,ولؤد حسان نضير,0.0
14641,فائقة سلامة ضيف,1.0
11607,هدى غنيم حجاب,1.0
30816,ولاه أدهم نبذه,0.0
29283,عبدالصلك مالك داصف,0.0
2563,معصومة زاكي عمير,1.0
466,ذكية طلعت مقتدي,1.0
15534,جيثم تانيا أشلع,0.0
9713,معاوية وليد مدحت,1.0
4332,مسفرة مصلح منير,1.0
30207,نئار مماب أنوار,0.0
28580,قاسى عبدالمطةب عبدالمنان,0.0
6185,مخلد صبيح مدحة,1.0
7763,نامي وارف حزام,1.0
420,مرام عزيز شكري,1.0
26069,تالا شاهر يالح,0.0
4163,تانيا صمصام علي,1.0
22008,فتيح حبد ساندرا,0.0
21330,حؤد جمعس صادر,0.0
13017,منى شداد حمد,1.0
29509,يمن حيدن حمدون,0.0
30627,اماح بوز ميسون,0.0
110,أهيم نسيب بشار,1.0
25201,بديع سلوض زحنة,0.0
26945,شمس فلدين فائق عبدالودود,0.0
19125,زواد عحئذة شوكت,0.0
5379,عبدالكريم رفيق عزيز,1.0
24620,أمواج تدهم انخجام,0.0
20402,مضر ساهس سدينة,0.0
30425,ثراء أرقم عقلف,0.0
20571,مأيث إيثاب عاتكة,0.0
6637,امتياز محمد فرج,1.0
30060,سادن رسمغة سميع,0.0
29096,شامخ عفوان ةمام,0.0
3737,عزت جراح أيوب,1.0
29463,فاتو مخلد راسخ,0.0
9598,راضي فريج حواس,1.0
19246,مأمون نصئت فياض,0.0
5588,ثائب شهيد حارب,1.0
9994,أسماء عكلة نشأت,1.0
30909,إخئاص أشةان معاوية,0.0
1583,فياض ظاهر عباس,1.0
10453,مزنة رشيد عميد,1.0
2646,وضحى أسامة ساطع,1.0
27702,نسيم دياد شمث الدين,0.0
28531,رشاد طريفء عزة,0.0
5547,أسماء عمران تواب,1.0
15897,حجر ناصح صارين,0.0
17816,ناشئ طامحة رفيتة,0.0
16925,ؤسيم فتوح أزهر,0.0
21206,شاكأ أمشد بارح,0.0
10102,مهرة البراء شريح,1.0
23288,أكم أيجان عفدن,0.0
23125,صائن فرناس عكل,0.0
27679,نهيان سناء خزلل,0.0
17237,عفيف لخالي نوال,0.0
3202,حور دحام رشاد,1.0
4484,صائن نظير مجيب,1.0
17836,ساجر محرم ظبهر,0.0
22646,أكمل ىمر جسول,0.0
18445,مظهر رضوان فلح,0.0
23321,ظير عبدربه بدر,0.0
4545,طارق نادر زايد,1.0
26553,أمم إحصان أريام,0.0
16953,عبدفلرؤوف فصيحة تانيا,0.0
17617,حزح توعب نورة,0.0
10264,مارسيل صميم صديق,1.0
10018,غصون ربيع فواز,1.0
23103,اعتماد عبدي مطيعت,0.0
3886,عفان مشتاق كهلان,1.0
7448,ريناد حمدان عبدالعليم,1.0
19276,عاف إجليل الطباخ,0.0
19294,بوض تارر مزهر,0.0
781,فادي شريح السيد,1.0
7491,باسطة شاهد كاسب,1.0
15228,مهرة المغربل عيسى,1.0
12328,ريا مشاري يحيى,1.0
11981,عهد أويس عزيز,1.0
27174,جمسنة كسام عقيل,0.0
2173,فيض شكري صارم,1.0
18374,رصجحة كادي ساجع,0.0
25502,أشو بكر رجاء عإدالخالق,0.0
8781,قسيم عمرو صديق,1.0
4147,أيهم شفيق صلاح,1.0
7174,نجم عنتر عبدالشكور,1.0
6596,تغاني رجاء سراج,1.0
10945,رائض جواد نظير,1.0
12640,مناحي أسد مقبل,1.0
5378,طامح ريان مهيب,1.0
24093,العنود أشذر ريما,0.0
2214,لينا نوح بطاح,1.0
16189,عز معتوق فثري,0.0
4876,أنمار رمزي فلوح,1.0
29815,بلقيس ركيم عقل,0.0
6615,خالص جرير بديع,1.0
27778,طعاد يارا عمارة,0.0
27850,عائدة وسيمه قةهر,0.0
23500,ظفاث اواب بندم,0.0
6945,غصون قادر عكرمة,1.0
19363,ناهد رسمي شأت,0.0
14036,إيمان عكرمة شوكت,1.0
1835,سكينة عمارة فليح,1.0
18791,إدعاك شجن ربى,0.0
28695,إباء رامة وزن,0.0
27922,خماح سيرين مخشص,0.0
28070,مئصومة مناير زكريا,0.0
28900,فسطمة عبدالملر براء,0.0
10515,معصومة حسين مرتجى,1.0
5788,تولين عبدالهادي رشوان,1.0
20345,ميلدد عجاج العكود,0.0
21096,سلامة مصعب معمع,0.0
7723,أبان عبدالوهاب ملحم,1.0
29972,دلال فظحات وضحى,0.0
804,إسعاد صبيح منان,1.0
24105,جندل زارف عماد,0.0
10902,هند معطي معين الدين,1.0
2559,حسنين سلمان شهاب,1.0
25610,عيم نزيه فؤري,0.0
2913,جبل نصرة راسم,1.0
20159,نوخر وفيف رهيفة,0.0
11237,روضة عشير خاتم,1.0
15034,قطب حاتم قابوس,1.0
5326,ركان سلمة شاهد,1.0
24256,ثروت خميس خليل,0.0
25575,فطيف رويشد شاهدة,0.0
31214,غوم نوةل ثائر,0.0
13863,هوازن عبدالحليم شداد,1.0
5035,مرام عطا عايض,1.0
16405,ظاهر مجاهدة بطاس,0.0
20718,سادي دانا بشاير,0.0
13581,سمعان فيصل رفيع,1.0
5649,رضوى رمضان منذر,1.0
30004,ميا نوفل رايض,0.0
19601,ؤطامي ظفار شجون,0.0
1569,نعمة سلامة هاشم,1.0
7410,ظافرة ظفار ثنيان,1.0
26868,روابي مغيفة تماضر,0.0
3971,وميض مناحي فياض,1.0
29639,ديد غلا ريتا,0.0
15456,مرهفة خزعل رضي,1.0
25549,ردطنة عذفة إقدام,0.0
28136,رزينة مقيا حمد,0.0
25014,أم كلثوم بطاح نضاض,0.0
21865,مبرور مكتوم أنشار,0.0
22730,إصر شادن لقية,0.0
21813,مدلب أهيي تودد,0.0
2614,أشيم عبداللطيف طموح,1.0
26791,مدحت رفيق معين سلدين,0.0
23797,وتين عبدالرزىق شوق,0.0
27402,أغاريد نضر سيلين,0.0
12125,عنود مرسي يعقوب,1.0
15880,تؤيد مدركة إجلال,0.0
23184,زهغة راسخة ساهد,0.0
13245,صفية رافد زياد,1.0
18663,مسيث شوق خعد,0.0
10189,خزنة نواس نبال,1.0
16544,ليش أصيل عذبة,0.0
14105,عريب دهيم قابوس,1.0
7943,قدري داود المثنى,1.0
14969,نجد ليث سلامة,1.0
3408,ريوف عبدالوهاب أجاويد,1.0
12927,شجاع عبدالعزيز مرداس,1.0
7698,غفار أحنف آدم,1.0
15702,توفيق فلوظ فخرية,0.0
23638,فتهح منتصر طموح,0.0
17645,مفتاح زاخر الهئوف,0.0
18275,عاطفة رامي نورإ,0.0
6720,بهيجة كمال غضنفر,1.0
12949,ربيح مصعب دحام,1.0
14581,عز عادل ميمون,1.0
27117,هدير رزن ماد,0.0
21475,انشراف إيثار نعزان,0.0
25602,شهال ئاغد لبهب,0.0
25126,شوري رضضي ريتاج,0.0
20079,سعد مقرح سامر,0.0
11490,فرحات أسامة مارسيل,1.0
29883,شثابة شاكر ليالي,0.0
23894,بسيمة حفناء منذرة,0.0
30196,أفزار ناهل أدهم,0.0
29697,تمعان هشاق مكتوم,0.0
8881,باسط إدريس عزت,1.0
14829,فتحية مدحة أخطب,1.0
25929,مجدي تالق داليا,0.0
31404,عقخ القاضي صخبر,0.0
1130,سحر مساعد نامي,1.0
9828,نبيهة عبدربه سمير,1.0
15129,منى مزن فرحات,1.0
28513,تزة عبدالغني عزة,0.0
15498,جوهرة راغب منيب,1.0
17756,صائن طلصل سمر,0.0
6016,بطرس نصار عقلة,1.0
20162,عباس طمود صائن,0.0
23266,كهلان غيم معطي,0.0
27230,كسيمة صلاح حنان,0.0
18271,درغام أئيمة تونب,0.0
30516,لمى عبدالرقيب راؤد,0.0
17025,العنود عذرم كاظم,0.0
8536,فلوح سويد سداد,1.0
24799,صمصام ظاهر بية,0.0
3543,حسن حامد كليب,1.0
10393,سميحة أنور سحيم,1.0
7696,بهيجة ناهض عابد,1.0
20988,وساء رولا عنود,0.0
20332,لمياء عميد طلعس,0.0
10406,نصر أجيد رزين,1.0
31183,جراح عبدالرقيب مطاعة,0.0
30211,رفيقة عطيل ذأاح,0.0
20060,فكري سبيعة رشحان,0.0
16910,لبيب فاضل عوال,0.0
1310,ولاء الدين ملحم عبدالحي,1.0
3020,قتيبة فهيد كلاب,1.0
23375,إبراهيم أفكار حافع,0.0
428,عبدي رافد مازن,1.0
26266,سيةين أقير جاسم,0.0
13681,عثمان حسنين عقال,1.0
23498,ضيغم راسخ نعدت,0.0
26911,مريم نظمت ولهانة,0.0
1608,سراج رفيق مهدي,1.0
31576,عبدة محيا فخري,0.0
17750,عرفة بطاح سعدقن,0.0
24590,ولاء عبدالملك رسا,0.0
16271,سكيقة حازث أرقم,0.0
154,أم كلثوم جمال كميت,1.0
11704,تارا حكيم حاشد,1.0
6647,ناظم أرغد جمال,1.0
26613,محرم زكريق خاتمة,0.0
840,العنود عزب محمد,1.0
17427,ناشئ بائر داود,0.0
25665,تهاني شجإع عجرج,0.0
5050,باسم بكر عصمت,1.0
18758,رافقة أسيم نشمي,0.0
23020,أشصم راءعة زلهر,0.0
21642,سلطى مزاحم ثواى,0.0
24667,مطيع أخطب رحاآ,0.0
4922,روز منتظر قطب,1.0
14892,دلال كليم تركي,1.0
18463,قطامي مروى محشد,0.0
12498,إباء قتادة مجيد,1.0
17530,غزام نوري غلام,0.0
24252,عتاب تشأت مضآوي,0.0
15002,سويد بشر شمر,1.0
27520,رشيقط نورا مخلد,0.0
15079,مبارك خويلد عبدالمجيد,1.0
8782,قدامة جلال نصوح,1.0
19463,حورءء مطير تالا,0.0
5009,عادل معاوية جمال,1.0
3491,فدوى بطرس ممدوح,1.0
26829,أدعج وطيعة عصا,0.0
28723,طارق معظر نمر,0.0
22882,شاهرة طريقة طامح,0.0
27390,أنس فائض لباب,0.0
19976,نضفل حازم زايا,0.0
8466,شفيق معصوم شبيب,1.0
24816,نبيلة ئريب ابلهال,0.0
19675,نظال علاء الدين وعد,0.0
3234,محجن بهلول إبراهيم,1.0
26305,هيام شكور فرجد,0.0
2012,درغام مقرن عبدالقدوس,1.0
1631,جوهرة مساعد وهبة,1.0
11556,ولاء الدين كليم راغد,1.0
5927,نظمي رهيف مدثر,1.0
5581,رزق ضياء رافع,1.0
22757,عتابة لقمان جثان,0.0
10314,رنيم عنترة لقمان,1.0
15716,أنغام منمر فارض,0.0
31718,سايد سلامة عشير,0.0
10439,حكمت مهند فرج,1.0
14662,سعاد نايف نصرة,1.0
13588,إصلاح عبدالعظيم فرحان,1.0
